NA_1555 	 objective
NA_2972 	 positive
NA_6847 	 positive
NA_2050 	 objective
NA_7564 	 neutral
NA_816 	 positive
NA_5789 	 neutral
NA_T15115848 	 positive
NA_1771 	 neutral
NA_7571 	 neutral
NA_4582 	 neutral
NA_3893 	 positive
NA_3886 	 neutral
NA_108 	 positive
NA_649 	 positive
NA_1793 	 negative
NA_5140 	 neutral
NA_1806 	 objective
NA_777 	 objective
NA_2347 	 negative
NA_3449 	 neutral
NA_3281 	 objective
NA_T15113929 	 positive
NA_8081 	 positive
NA_1775 	 positive
NA_6228 	 positive
NA_7329 	 negative
NA_785 	 negative
NA_1544 	 positive
NA_T15112379 	 neutral
NA_7700 	 objective
NA_7379 	 neutral
NA_5332 	 negative
NA_5234 	 neutral
NA_3576 	 negative
NA_3322 	 positive
NA_1148 	 objective
NA_7396 	 positive
NA_3196 	 positive
NA_3462 	 objective
NA_8842 	 positive
NA_1608 	 neutral
NA_4010 	 objective
NA_4470 	 negative
NA_2943 	 positive
NA_T15111524 	 neutral
NA_5617 	 objective
NA_6103 	 negative
NA_3041 	 objective
NA_1538 	 negative
NA_T15112887 	 neutral
NA_2775 	 negative
NA_7766 	 positive
NA_7273 	 objective
NA_4892 	 positive
NA_3711 	 positive
NA_4779 	 neutral
NA_1030 	 neutral
NA_3555 	 positive
NA_5113 	 neutral
NA_3311 	 positive
NA_7605 	 positive
NA_3356 	 positive
NA_2531 	 negative
NA_103 	 negative
NA_5239 	 objective
NA_4927 	 objective
NA_5225 	 positive
NA_3981 	 positive
NA_3248 	 positive
NA_3561 	 positive
NA_6616 	 neutral
NA_8079 	 positive
NA_6060 	 positive
NA_4101 	 positive
NA_1890 	 positive
NA_6076 	 neutral
NA_1232 	 positive
NA_8447 	 positive
NA_1297 	 neutral
NA_7637 	 positive
NA_4451 	 positive
NA_T15111310 	 negative
NA_7684 	 positive
NA_T15112571 	 objective
NA_335 	 objective
NA_6831 	 objective
NA_7967 	 neutral
NA_104 	 positive
NA_T15116599 	 objective
NA_T15113749 	 neutral
NA_3338 	 objective
NA_8963 	 positive
NA_6658 	 positive
NA_3540 	 objective
NA_8733 	 objective
NA_T15114108 	 objective
NA_8431 	 negative
NA_3951 	 positive
NA_T15112796 	 negative
NA_4086 	 neutral
NA_1178 	 positive
NA_1619 	 positive
NA_6604 	 negative
NA_2072 	 positive
NA_6227 	 negative
NA_6640 	 neutral
NA_1955 	 objective
NA_7455 	 neutral
NA_T15115452 	 neutral
NA_7780 	 objective
NA_T15115396 	 neutral
NA_T15113143 	 objective
NA_T15111790 	 positive
NA_756 	 objective
NA_4871 	 positive
NA_1242 	 positive
NA_6026 	 positive
NA_322 	 neutral
NA_1947 	 negative
NA_2381 	 neutral
NA_914 	 objective
NA_1989 	 objective
NA_1197 	 positive
NA_T15112446 	 objective
NA_177 	 positive
NA_4710 	 objective
NA_2920 	 negative
NA_5840 	 objective
NA_40 	 objective
NA_T15114638 	 negative
NA_5644 	 objective
NA_7487 	 neutral
NA_8631 	 positive
NA_6180 	 negative
NA_3357 	 neutral
NA_870 	 objective
NA_1311 	 objective
NA_5736 	 positive
NA_3961 	 neutral
NA_5599 	 positive
NA_2947 	 objective
NA_T15116065 	 positive
NA_2510 	 neutral
NA_3464 	 neutral
NA_157 	 objective
NA_8935 	 objective
NA_T15112144 	 objective
NA_7125 	 negative
NA_650 	 objective
NA_4149 	 objective
NA_7926 	 positive
NA_T15116501 	 objective
NA_8368 	 objective
NA_3073 	 objective
NA_8588 	 positive
NA_5904 	 neutral
NA_820 	 positive
NA_5627 	 positive
NA_1799 	 neutral
NA_7005 	 positive
NA_8771 	 neutral
NA_6884 	 positive
NA_7527 	 objective
NA_2401 	 positive
NA_5309 	 positive
NA_5797 	 objective
NA_962 	 objective
NA_T15116619 	 neutral
NA_6270 	 positive
NA_6757 	 positive
NA_6090 	 objective
NA_1711 	 negative
NA_4392 	 objective
NA_T15115487 	 positive
NA_T15112340 	 objective
NA_1985 	 negative
NA_857 	 objective
NA_5272 	 positive
NA_71 	 negative
NA_T15114334 	 negative
NA_4999 	 objective
NA_325 	 positive
NA_5003 	 positive
NA_4061 	 positive
NA_2753 	 positive
NA_3773 	 neutral
NA_2960 	 neutral
NA_T15115101 	 negative
NA_6324 	 positive
NA_1980 	 objective
NA_4713 	 positive
NA_8708 	 positive
NA_160 	 negative
NA_1727 	 positive
NA_T15114029 	 objective
NA_4298 	 positive
NA_7732 	 objective
NA_7837 	 objective
NA_2071 	 positive
NA_24 	 positive
NA_3224 	 neutral
NA_2179 	 positive
NA_6915 	 positive
NA_6533 	 objective
NA_2355 	 neutral
NA_5835 	 positive
NA_798 	 negative
NA_7969 	 positive
NA_6725 	 positive
NA_8862 	 positive
NA_2786 	 positive
NA_T15114400 	 objective
NA_2185 	 positive
NA_25 	 objective
NA_T15115601 	 objective
NA_T15114990 	 positive
NA_T15115971 	 objective
NA_985 	 objective
NA_7032 	 positive
NA_6729 	 positive
NA_2703 	 positive
NA_5777 	 positive
NA_8228 	 positive
NA_2915 	 objective
NA_5820 	 positive
NA_500 	 neutral
NA_T15115814 	 negative
NA_4611 	 neutral
NA_2476 	 positive
NA_6739 	 positive
NA_T15112864 	 objective
NA_T15112763 	 positive
NA_6680 	 objective
NA_3435 	 positive
NA_6958 	 neutral
NA_3388 	 objective
NA_6109 	 positive
NA_2784 	 objective
NA_4627 	 positive
NA_6590 	 neutral
NA_T15115667 	 neutral
NA_6093 	 objective
NA_2641 	 positive
NA_4525 	 positive
NA_769 	 positive
NA_8927 	 neutral
NA_3860 	 positive
NA_7841 	 objective
NA_8462 	 objective
NA_T15111181 	 objective
NA_8484 	 positive
NA_2100 	 objective
NA_8497 	 positive
NA_4434 	 positive
NA_T15113141 	 positive
NA_1169 	 neutral
NA_T15111288 	 objective
NA_2250 	 objective
NA_T15114805 	 objective
NA_4716 	 neutral
NA_2260 	 positive
NA_3963 	 negative
NA_2113 	 positive
NA_1828 	 objective
NA_4467 	 objective
NA_4962 	 positive
NA_3999 	 neutral
NA_6058 	 negative
NA_7309 	 negative
NA_7679 	 neutral
NA_2874 	 positive
NA_5923 	 objective
NA_T15112709 	 neutral
NA_6116 	 objective
NA_315 	 negative
NA_4158 	 neutral
NA_T15115772 	 negative
NA_828 	 objective
NA_5421 	 objective
NA_4692 	 neutral
NA_2148 	 objective
NA_4596 	 negative
NA_7287 	 neutral
NA_6127 	 negative
NA_2044 	 positive
NA_T15111688 	 negative
NA_7580 	 objective
NA_2706 	 positive
NA_8675 	 positive
NA_4783 	 negative
NA_5317 	 positive
NA_5596 	 negative
NA_T15114343 	 objective
NA_691 	 neutral
NA_T15116456 	 positive
NA_4253 	 neutral
NA_887 	 negative
NA_312 	 negative
NA_4861 	 objective
NA_3332 	 objective
NA_8478 	 negative
NA_203 	 positive
NA_8926 	 negative
NA_T15112390 	 objective
NA_1213 	 negative
NA_4920 	 objective
NA_6187 	 objective
NA_T15111585 	 neutral
NA_4272 	 objective
NA_4330 	 neutral
NA_3903 	 positive
NA_T15111277 	 positive
NA_1181 	 positive
NA_7212 	 objective
NA_4369 	 objective
NA_6728 	 objective
NA_1836 	 neutral
NA_5973 	 positive
NA_3700 	 neutral
NA_T15116700 	 neutral
NA_4193 	 positive
NA_273 	 positive
NA_3921 	 neutral
NA_6212 	 positive
NA_4174 	 positive
NA_4901 	 positive
NA_6301 	 positive
NA_4741 	 objective
NA_2412 	 positive
NA_1224 	 objective
NA_4523 	 neutral
NA_6505 	 objective
NA_1655 	 negative
NA_6168 	 positive
NA_T15116596 	 objective
NA_8514 	 objective
NA_T15115063 	 positive
NA_5918 	 neutral
NA_7073 	 objective
NA_2762 	 neutral
NA_963 	 objective
NA_T15116362 	 negative
NA_4388 	 objective
NA_8278 	 objective
NA_5593 	 positive
NA_1430 	 positive
NA_1785 	 positive
NA_5299 	 objective
NA_1876 	 positive
NA_1801 	 objective
NA_710 	 positive
NA_T15112191 	 neutral
NA_8274 	 positive
NA_2644 	 objective
NA_T15111156 	 objective
NA_2428 	 positive
NA_2950 	 objective
NA_6246 	 objective
NA_1004 	 positive
NA_T15112126 	 negative
NA_3709 	 neutral
NA_5817 	 objective
NA_3097 	 positive
NA_2908 	 positive
NA_T15111365 	 positive
NA_4128 	 objective
NA_3533 	 objective
NA_7486 	 objective
NA_4555 	 positive
NA_1401 	 neutral
NA_8785 	 positive
NA_6263 	 negative
NA_3761 	 objective
NA_1901 	 objective
NA_263 	 neutral
NA_T15113703 	 positive
NA_4482 	 neutral
NA_T15111509 	 neutral
NA_249 	 objective
NA_T15113951 	 negative
NA_4505 	 positive
NA_T15111907 	 neutral
NA_3044 	 positive
NA_8793 	 negative
NA_5765 	 objective
NA_3198 	 positive
NA_T15112861 	 objective
NA_7046 	 negative
NA_4183 	 positive
NA_T15111267 	 objective
NA_4568 	 neutral
NA_T15112903 	 neutral
NA_6571 	 objective
NA_5633 	 neutral
NA_3255 	 positive
NA_1759 	 objective
NA_4121 	 negative
NA_197 	 objective
NA_3186 	 neutral
NA_2923 	 neutral
NA_2761 	 positive
NA_1212 	 positive
NA_2781 	 positive
NA_7450 	 positive
NA_8084 	 objective
NA_7556 	 negative
NA_T15114747 	 negative
NA_3261 	 objective
NA_7945 	 objective
NA_T15116235 	 objective
NA_6361 	 positive
NA_736 	 positive
NA_2857 	 neutral
NA_6379 	 negative
NA_T15112131 	 positive
NA_7038 	 positive
NA_3413 	 positive
NA_381 	 positive
NA_4460 	 negative
NA_3348 	 objective
NA_7197 	 objective
NA_6842 	 positive
NA_87 	 negative
NA_7149 	 positive
NA_3611 	 objective
NA_7461 	 positive
NA_3924 	 positive
NA_2286 	 positive
NA_T15115327 	 objective
NA_6534 	 objective
NA_T15115069 	 objective
NA_8773 	 positive
NA_5749 	 objective
NA_5496 	 positive
NA_7296 	 objective
NA_1280 	 negative
NA_1429 	 negative
NA_3879 	 negative
NA_3965 	 objective
NA_5747 	 positive
NA_677 	 objective
NA_8348 	 objective
NA_T15112698 	 neutral
NA_T15115844 	 objective
NA_2909 	 negative
NA_3132 	 positive
NA_T15113577 	 negative
NA_804 	 positive
NA_5475 	 positive
NA_T15112092 	 neutral
NA_7594 	 objective
NA_747 	 neutral
NA_3898 	 positive
NA_1312 	 objective
NA_T15112406 	 negative
NA_T15113977 	 positive
NA_2971 	 objective
NA_5939 	 negative
NA_4706 	 objective
NA_7310 	 neutral
NA_T15113860 	 positive
NA_4212 	 objective
NA_T15112545 	 objective
NA_4836 	 objective
NA_T15114212 	 neutral
NA_7820 	 objective
NA_1037 	 positive
NA_T15115334 	 positive
NA_2608 	 positive
NA_1217 	 negative
NA_T15111399 	 positive
NA_3335 	 objective
NA_T15111153 	 neutral
NA_2461 	 positive
NA_T15114844 	 objective
NA_30 	 neutral
NA_3536 	 positive
NA_7638 	 positive
NA_3810 	 positive
NA_8217 	 positive
NA_4001 	 neutral
NA_5830 	 objective
NA_T15113657 	 objective
NA_6568 	 neutral
NA_8289 	 positive
NA_4990 	 objective
NA_6095 	 positive
NA_2864 	 positive
NA_T15114188 	 neutral
NA_1413 	 positive
NA_3043 	 objective
NA_T15112119 	 positive
NA_T15112744 	 positive
NA_T15113337 	 neutral
NA_927 	 objective
NA_7022 	 neutral
NA_4246 	 positive
NA_T15115926 	 positive
NA_T15114996 	 positive
NA_3947 	 neutral
NA_4902 	 positive
NA_5320 	 objective
NA_5669 	 positive
NA_T15112729 	 negative
NA_821 	 objective
NA_8233 	 positive
NA_1241 	 neutral
NA_4400 	 negative
NA_2077 	 positive
NA_T15116185 	 negative
NA_1704 	 objective
NA_6897 	 objective
NA_T15113313 	 positive
NA_690 	 positive
NA_8538 	 objective
NA_5337 	 objective
NA_T15115124 	 objective
NA_8911 	 positive
NA_2621 	 objective
NA_6881 	 negative
NA_T15112525 	 positive
NA_T15112955 	 positive
NA_4177 	 objective
NA_5061 	 objective
NA_8505 	 objective
NA_8907 	 negative
NA_2552 	 negative
NA_T15111650 	 positive
NA_5944 	 positive
NA_6217 	 neutral
NA_1838 	 negative
NA_1494 	 objective
NA_2968 	 positive
NA_4435 	 negative
NA_T15114370 	 objective
NA_4452 	 negative
NA_8649 	 negative
NA_7049 	 positive
NA_T15111190 	 positive
NA_T15115008 	 positive
NA_5623 	 positive
NA_2674 	 positive
NA_4550 	 positive
NA_7681 	 positive
NA_6357 	 positive
NA_8103 	 positive
NA_7717 	 negative
NA_4814 	 objective
NA_6371 	 positive
NA_4347 	 negative
NA_2374 	 objective
NA_570 	 positive
NA_2575 	 positive
NA_5646 	 negative
NA_1839 	 positive
NA_8316 	 negative
NA_6226 	 positive
NA_2231 	 positive
NA_7798 	 objective
NA_2774 	 negative
NA_6588 	 negative
NA_6206 	 negative
NA_3950 	 objective
NA_6260 	 objective
NA_5172 	 neutral
NA_7694 	 objective
NA_8542 	 negative
NA_7219 	 objective
NA_4937 	 positive
NA_T15113252 	 objective
NA_T15114536 	 neutral
NA_8558 	 positive
NA_T15116522 	 positive
NA_5537 	 neutral
NA_6203 	 positive
NA_4391 	 negative
NA_6309 	 negative
NA_T15113059 	 objective
NA_1483 	 objective
NA_8486 	 negative
NA_T15116675 	 neutral
NA_1790 	 objective
NA_5279 	 objective
NA_3093 	 positive
NA_4303 	 neutral
NA_424 	 neutral
NA_1590 	 neutral
NA_T15116439 	 negative
NA_T15112625 	 neutral
NA_2614 	 neutral
NA_2105 	 positive
NA_3148 	 positive
NA_3642 	 positive
NA_127 	 positive
NA_6688 	 objective
NA_8909 	 positive
NA_8764 	 neutral
NA_2773 	 negative
NA_T15114363 	 objective
NA_2946 	 negative
NA_3856 	 negative
NA_3622 	 positive
NA_T15116449 	 positive
NA_T15112201 	 neutral
NA_443 	 positive
NA_6966 	 objective
NA_T15114085 	 negative
NA_2235 	 positive
NA_7017 	 neutral
NA_1082 	 positive
NA_436 	 objective
NA_6027 	 positive
NA_865 	 neutral
NA_4552 	 positive
NA_T15113354 	 positive
NA_3409 	 objective
NA_7636 	 neutral
NA_T15115834 	 objective
NA_3854 	 positive
NA_8734 	 negative
NA_5423 	 objective
NA_242 	 neutral
NA_T15113456 	 objective
NA_T15113085 	 positive
NA_T15113810 	 objective
NA_69 	 objective
NA_668 	 positive
NA_6000 	 objective
NA_T15111938 	 positive
NA_T15112546 	 neutral
NA_1176 	 neutral
NA_6740 	 positive
NA_T15112757 	 objective
NA_4699 	 objective
NA_3292 	 objective
NA_5205 	 positive
NA_T15116312 	 objective
NA_165 	 positive
NA_1141 	 objective
NA_441 	 neutral
NA_T15112037 	 neutral
NA_2205 	 positive
NA_6390 	 negative
NA_7504 	 neutral
NA_5007 	 positive
NA_1629 	 objective
NA_2015 	 positive
NA_8189 	 positive
NA_2060 	 neutral
NA_1917 	 objective
NA_T15114915 	 objective
NA_T15112317 	 objective
NA_3242 	 neutral
NA_6708 	 negative
NA_T15112349 	 negative
NA_7533 	 objective
NA_T15116246 	 objective
NA_2662 	 objective
NA_7586 	 positive
NA_9 	 positive
NA_5118 	 objective
NA_3194 	 negative
NA_T15114229 	 positive
NA_110 	 objective
NA_3005 	 objective
NA_4821 	 positive
NA_7979 	 negative
NA_T15116673 	 negative
NA_2684 	 objective
NA_4376 	 positive
NA_1695 	 neutral
NA_979 	 objective
NA_620 	 neutral
NA_2437 	 objective
NA_5410 	 positive
NA_6365 	 objective
NA_7915 	 positive
NA_5709 	 neutral
NA_3374 	 positive
NA_5584 	 neutral
NA_385 	 positive
NA_8326 	 negative
NA_3192 	 objective
NA_T15115652 	 objective
NA_4364 	 positive
NA_6789 	 neutral
NA_7186 	 neutral
NA_4045 	 neutral
NA_1950 	 negative
NA_T15111787 	 positive
NA_6986 	 positive
NA_3600 	 objective
NA_T15112867 	 objective
NA_5321 	 neutral
NA_6306 	 negative
NA_44 	 neutral
NA_5724 	 positive
NA_1233 	 neutral
NA_2569 	 negative
NA_2630 	 objective
NA_8915 	 positive
NA_2618 	 negative
NA_8014 	 positive
NA_1920 	 positive
NA_T15113933 	 objective
NA_4252 	 positive
NA_920 	 positive
NA_4614 	 objective
NA_1463 	 positive
NA_2458 	 objective
NA_T15113125 	 objective
NA_3272 	 objective
NA_1309 	 positive
NA_6019 	 negative
NA_1458 	 positive
NA_5295 	 positive
NA_8625 	 objective
NA_6521 	 negative
NA_T15114063 	 positive
NA_T15111767 	 neutral
NA_6412 	 positive
NA_5838 	 neutral
NA_51 	 positive
NA_234 	 objective
NA_3123 	 objective
NA_6876 	 positive
NA_6377 	 positive
NA_6161 	 positive
NA_4102 	 positive
NA_T15114249 	 positive
NA_T15115467 	 objective
NA_T15114262 	 neutral
NA_6678 	 neutral
